policyID,statecode,county,CreditLimit,tiv_2012,point_latitude,point_longitude,line,construction,point_granularity,Country
119736,FL,CLAY COUNTY,498960,792148.9,30.102261,-81.711777,Residential,Masonry,1,USA
448094,FL,CLAY COUNTY,1322376.3,1438163.57,30.063936,-81.707664,Residential,Masonry,3,USA
206893,FL,CLAY COUNTY,190724.4,192476.78,30.089579,-81.700455,Residential,Wood,1,USA
333743,FL,CLAY COUNTY,79520.76,86854.48,30.063236,-81.707703,Residential,Wood,3,USA
172534,FL,CLAY COUNTY,254281.5,246144.49,30.060614,-81.702675,Residential,Wood,1,USA
785275,FL,CLAY COUNTY,515035.62,884419.17,30.063236,-81.707703,Residential,Masonry,3,USA
995932,FL,CLAY COUNTY,19260000,20610000,30.102226,-81.713882,Commercial,Reinforced Concrete,1,USA
223488,FL,CLAY COUNTY,328500,348374.25,30.102217,-81.707146,Residential,Wood,1,USA
433512,FL,CLAY COUNTY,315000,265821.57,30.118774,-81.704613,Residential,Wood,1,USA
142071,FL,CLAY COUNTY,705600,1010842.56,30.100628,-81.703751,Residential,Masonry,1,USA
253816,FL,SACRAMENTO,831498.3,1117791.48,30.10216,-81.719444,Residential,Masonry,1,USA
894922,FL,SACRAMENTO,24059.09,33952.19,30.095957,-81.695099,Residential,Wood,1,USA
422834,FL,SACRAMENTO,48115.94,66755.39,30.100073,-81.739822,Residential,Wood,1,USA
582721,FL,SACRAMENTO,28869.12,42826.99,30.09248,-81.725167,Residential,Wood,1,USA
842700,FL,SACRAMENTO,56135.64,50656.8,30.101356,-81.726248,Residential,Wood,1,USA
874333,FL,SACRAMENTO,48115.94,67905.07,30.113743,-81.727463,Residential,Wood,1,USA
580146,FL,SACRAMENTO,48115.94,66938.9,30.121655,-81.732391,Residential,Wood,3,USA
456149,FL,SACRAMENTO,80192.49,86421.04,30.109537,-81.741661,Residential,Wood,1,USA
767862,FL,RANCHO CORDOVA,48115.94,73798.5,30.11824,-81.745335,Residential,Wood,3,USA
353022,FL,RIO LINDA,60946.79,62467.29,30.065799,-81.717416,Residential,Wood,1,USA
367814,FL,SACRAMENTO,28869.12,42727.74,30.082993,-81.710581,Residential,Wood,1,USA
671392,FL,SACRAMENTO,13410000,11700000,30.091921,-81.711929,Commercial,Reinforced Concrete,3,USA
772887,FL,SACRAMENTO,1669113.93,2099127.76,30.117352,-81.711884,Residential,Masonry,1,USA
983122,FL,SACRAMENTO,179562.23,211372.57,30.095783,-81.713181,Residential,Wood,3,USA
934215,FL,SACRAMENTO,177744.16,157171.16,30.110518,-81.727478,Residential,Wood,1,USA
385951,FL,SACRAMENTO,17757.58,16948.72,30.10288,-81.705719,Residential,Wood,1,USA
716332,FL,RIO LINDA,130129.87,101758.43,30.068468,-81.71624,Residential,Wood,1,USA
751262,FL,CITRUS HEIGHTS,42854.77,63592.88,30.068468,-81.71624,Residential,Wood,1,USA
633663,FL,SACRAMENTO,785.58,662.18,30.068468,-81.71624,Residential,Wood,1,USA
105851,FL,RIO LINDA,170361.91,177176.38,30.068468,-81.71624,Residential,Wood,1,USA
710400,FL,CITRUS HEIGHTS,1430.89,1861.41,30.068468,-81.71624,Residential,Wood,1,USA
703001,FL,SACRAMENTO,129913.27,101692.86,30.079785,-81.706865,Residential,Wood,4,USA
352792,FL,NORTH HIGHLANDS,366285.62,507164.19,30.08012,-81.718452,Residential,Masonry,1,USA
717603,FL,SACRAMENTO,22512.61,28637.17,30.08012,-81.718452,Residential,Wood,1,USA
937659,FL,NORTH HIGHLANDS,9246.6,10880.22,29.959805,-82.926659,Residential,Wood,3,USA
